TAXON,RdRP_super_group,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,Taxon_set
Peribunyaviridae,Negative_Bunya-Arena,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Peribunyaviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Peribunyaviridae|||
Phasmaviridae,Negative_Bunya-Arena,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Phasmaviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Phasmaviridae|||
Phenuiviridae_Phlebovirus,Negative_Bunya-Arena,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Phenuiviridae,,Phlebovirus,,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Phenuiviridae||Phlebovirus|
Phenuiviridae_Bandavirus,Negative_Bunya-Arena,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Phenuiviridae,,Bandavirus,,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Phenuiviridae||Bandavirus|
Tospoviridae,Negative_Bunya-Arena,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Tospoviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Tospoviridae|||
Artoviridae,Negative_Mono-Chu,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Artoviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Artoviridae|||
Bornaviridae,Negative_Mono-Chu,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Bornaviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Bornaviridae|||
Chuviridae,Negative_Mono-Chu,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Jingchuvirales,,Chuviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Jingchuvirales||Chuviridae|||
Filoviridae,Negative_Mono-Chu,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Filoviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Filoviridae|||
Lispiviridae,Negative_Mono-Chu,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Lispiviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Lispiviridae|||
Mymonaviridae,Negative_Mono-Chu,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Mymonaviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Mymonaviridae|||
Nyamiviridae,Negative_Mono-Chu,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Nyamiviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Nyamiviridae|||
Paramyxoviridae,Negative_Mono-Chu,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Paramyxoviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Paramyxoviridae|||
Pneumoviridae,Negative_Mono-Chu,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Pneumoviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Pneumoviridae|||
Rhabdoviridae_Gammarhabdovirinae,Negative_Mono-Chu,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Rhabdoviridae,Gammarhabdovirinae,,,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Rhabdoviridae|Gammarhabdovirinae||
Rhabdoviridae_Betarhabdovirinae,Negative_Mono-Chu,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Rhabdoviridae,Betarhabdovirinae,,,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Rhabdoviridae|Betarhabdovirinae||
Rhabdoviridae_Alpharhabdovirinae,Negative_Mono-Chu,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Rhabdoviridae,Alpharhabdovirinae,,,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Rhabdoviridae|Alpharhabdovirinae||
Rhabdoviridae,Negative_Mono-Chu,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Rhabdoviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Rhabdoviridae|||
Xinmoviridae,Negative_Mono-Chu,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,,Xinmoviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Monjiviricetes|Mononegavirales||Xinmoviridae|||
Influenzavirus,Negative_Orthomyxo,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae|||
Isavirus,Negative_Orthomyxo,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Isavirus,,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Isavirus|
Orthomyxoviridae,Negative_Orthomyxo,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae|||
Quaranjavirus,Negative_Orthomyxo,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
Thogotovirus,Negative_Orthomyxo,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Thogotovirus,,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Thogotovirus|
Arteriviridae,Nido,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Arnidovirineae,Arteriviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Arnidovirineae|Arteriviridae|||
Coronaviridae,Nido,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|||
Euroniviridae,Nido,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Ronidovirineae,Euroniviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Ronidovirineae|Euroniviridae|||
Mesoniviridae,Nido,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Mesnidovirineae,Mesoniviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Mesnidovirineae|Mesoniviridae|||
Nido,Nido,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,,,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|||||
Mononiviridae,Nido,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Monidovirineae,Mononiviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Monidovirineae|Mononiviridae|||
